,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
136,Evan,Ferguson,6,2,65,942,12,150.4,286.2,361.0,8,213,79.9,6,0,1,8.4,60,FWD
137,Billy,Gilmour,0,1,21,502,8,56.5,67.6,33.0,0,105,15.8,2,0,1,0.1,50,MID
138,Pascal,Groß,9,8,159,3240,51,1227.5,918.6,582.0,14,748,273.2,11,0,7,4.9,65,MID
139,João Pedro,Junqueira de Jesus,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,16.0,55,FWD
140,Michał,Karbownik,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF
141,Kacper,Kozłowski,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
142,Adam,Lallana,2,1,47,717,10,186.7,144.2,152.0,4,146,48.5,5,0,0,0.1,50,MID
143,Tariq,Lamptey,0,0,23,439,7,87.2,70.6,48.0,0,91,20.6,1,0,1,8.4,40,DEF
144,Solly,March,6,10,147,2719,40,965.8,791.8,955.0,16,559,271.4,10,0,2,2.7,65,MID
145,Tom,McGill,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,GK
146,James,Milner,0,1,42,889,12,222.7,179.6,93.0,0,187,49.5,3,0,2,0.2,50,MID
147,Kaoru,Mitoma,7,9,138,2311,35,569.4,569.6,867.0,11,457,200.4,8,0,0,38.9,65,MID
148,Jakub,Moder,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID
149,Jeremy,Sarmiento Morante,0,2,16,168,2,38.2,46.6,50.0,0,40,12.9,1,0,1,0.1,45,MID
150,Kjell,Scherpen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
151,Jason,Steele,0,1,65,1350,23,13.0,377.6,0.0,8,332,39.1,6,0,1,6.5,45,GK
152,Deniz,Undav,5,2,52,614,9,124.0,196.4,372.0,4,173,69.1,2,0,2,0.2,55,FWD
153,Jan Paul,van Hecke,0,0,6,291,7,5.8,71.4,10.0,0,54,8.8,0,0,2,1.0,40,DEF
154,Joël,Veltman,1,1,95,2183,29,201.3,407.2,162.0,6,447,77.4,10,0,6,1.3,45,DEF
155,Bart,Verbruggen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,45,GK
156,Adam,Webster,0,0,75,1983,27,104.3,361.8,126.0,3,405,59.2,9,0,2,0.5,45,DEF
157,Danny,Welbeck,6,5,91,1844,28,390.6,378.2,782.0,5,296,155.4,6,0,0,2.3,60,FWD
