,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
48,Boubacar,Kamara,0,0,24,1101,17,195.7,155.4,24.0,1,162,37.7,3,0,5,0.1,50,MID
49,Ezri,Konsa Ngoyo,0,1,33,1170,18,39.8,222.0,91.0,2,217,35.5,2,0,2,1.4,45,DEF
50,Emiliano,Martínez Romero,0,0,34,1080,17,0.0,286.0,0.0,3,208,28.6,2,0,2,7.0,49,GK
51,John,McGinn,3,2,52,1107,16,299.2,244.2,142.0,6,211,68.7,2,0,3,0.8,55,MID
52,Tyrone,Mings,0,0,0,30,2,13.0,3.6,5.0,0,5,2.2,0,0,0,1.4,41,DEF
53,Robin,Olsen,0,0,2,90,1,0.0,12.0,0.0,0,12,1.2,0,0,0,0.7,40,GK
54,Jaden,Philogene-Bidace,0,0,1,3,1,0.3,0.4,2.0,0,3,0.3,0,0,0,0.1,45,MID
55,Jacob,Ramsey,1,0,8,49,0,1.6,45.8,28.0,0,24,7.6,0,0,0,0.1,59,MID
56,Morgan,Sanson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
57,Viljami,Sinisalo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
58,Youri,Tielemans,0,2,20,326,5,87.0,78.0,28.0,0,84,19.4,0,0,0,0.5,56,MID
59,Bertrand,Traoré,0,0,2,10,0,0.0,3.0,0.0,0,6,0.3,0,0,0,0.0,50,MID
60,Ollie,Watkins,7,8,85,1130,18,253.6,378.8,550.0,9,289,118.3,2,0,2,43.8,85,FWD
61,Wesley,Moraes Ferreira da Silva,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,FWD
62,Pau,Torres,2,0,46,1139,16,71.4,253.8,80.0,4,225,40.6,2,0,0,4.1,46,DEF
63,Moussa,Diaby,3,6,66,989,16,299.8,234.6,322.0,5,202,85.7,3,0,0,15.0,68,MID
64,Omari,Kellyman,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID
65,Filip,Marschall,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
66,Nicolò,Zaniolo,0,0,10,421,4,71.0,30.4,196.0,0,-10,29.4,1,0,2,0.1,55,MID
67,Oliwier,Zych,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,GK
68,Clément,Lenglet,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,DEF
69,Jaidon,Anthony,0,0,3,151,5,4.6,9.0,16.0,0,4,3.0,0,0,1,0.0,49,MID
70,Philip,Billing,1,1,32,955,25,183.6,195.2,146.0,3,126,52.3,1,0,3,0.4,52,MID
71,David,Brooks,1,0,16,231,4,82.3,62.0,83.0,2,53,22.9,0,0,1,0.1,49,MID
