,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
549,Karl,Darlow,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,39,GK
550,Martin,Dubravka,0,0,11,156,1,0.0,29.4,0.0,1,49,2.9,1,0,0,0.4,41,GK
551,Callum,Wilson,18,6,157,1870,16,271.0,720.0,1020.0,20,526,200.4,10,0,4,17.2,73,FWD
552,Kieran,Trippier,1,9,198,3342,31,1818.5,904.8,117.0,39,941,284.3,16,0,5,62.4,60,DEF
553,Dan,Burn,1,0,129,3109,30,230.4,550.2,265.0,6,584,104.8,14,0,5,4.3,45,DEF
554,Ryan,Fraser,0,0,11,308,3,74.0,26.8,70.0,0,39,17.2,1,0,1,0.1,52,MID
555,Jamaal,Lascelles,0,0,3,214,5,0.9,42.6,13.0,0,22,5.4,0,0,4,0.1,43,DEF
556,Dwight,Gayle,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
557,Paul,Dummett,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,39,DEF
558,Javier,Manquillo Gaitán,0,0,4,34,1,5.5,12.0,2.0,0,19,2.0,0,0,0,0.1,42,DEF
559,Emil,Krafth,0,0,1,1,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.0,43,DEF
560,Jacob,Murphy,4,2,78,1230,12,302.5,275.0,410.0,2,240,98.9,3,0,0,3.2,42,MID
561,Fabian,Schär,1,3,139,3207,28,263.9,653.4,521.0,6,617,144.1,15,0,7,14.4,51,DEF
562,Matt,Targett,0,0,35,600,6,141.9,97.6,8.0,2,157,24.8,3,0,1,0.5,47,DEF
563,Allan,Saint-Maximin,1,6,66,1109,14,344.1,266.4,370.0,4,240,98.2,4,0,1,3.1,61,MID
564,Miguel,Almirón Rejala,11,4,158,2487,22,424.0,599.2,849.0,15,511,187.5,15,0,2,12.8,54,MID
565,Sean,Longstaff,1,5,93,2514,18,372.0,385.2,408.0,2,347,116.8,13,0,2,1.0,43,MID
566,Joelinton Cássio,Apolinário de Lira,6,5,115,2660,26,413.1,603.4,655.0,10,458,167.3,11,0,12,2.0,60,MID
567,Jamal,Lewis,0,0,2,9,1,0.8,1.0,4.0,0,6,0.6,0,0,0,0.1,44,DEF
568,Joe,Willock,3,7,123,2556,26,547.0,520.8,680.0,11,415,174.9,12,0,1,1.2,47,MID
569,Bruno,Guimarães Rodriguez Moura,4,5,107,2727,25,631.8,617.6,284.0,5,438,153.6,12,0,7,2.9,55,MID
570,Jeff,Hendrick,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
571,Nick,Pope,0,0,157,3261,32,20.0,709.6,0.0,14,678,72.9,14,1,3,18.0,54,GK
572,Sven,Botman,0,2,129,3127,30,120.1,554.4,303.0,8,666,98.1,13,0,2,6.9,45,DEF
573,Elliot,Anderson,0,1,30,395,7,114.7,70.2,180.0,2,93,36.5,1,0,0,0.1,43,MID
574,Harrison,Ashby,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,38,DEF
575,Alexander,Isak,10,2,100,1520,20,244.1,475.0,693.0,18,353,141.1,4,0,3,12.7,70,FWD
576,Loris,Karius,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,39,GK
577,Garang,Kuol,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
578,Lewis,Miley,0,0,1,14,0,0.0,0.0,0.0,0,2,0.0,0,0,0,0.0,45,MID
579,Mark,Gillespie,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
580,Neco,Williams,1,1,54,1872,41,257.3,372.2,209.0,1,284,84.0,4,0,7,12.1,38,DEF
581,Jonjo,Shelvey,0,0,16,573,11,102.1,55.6,11.0,0,67,16.3,1,0,2,0.0,48,MID
582,Chris,Wood,3,0,53,807,9,82.1,145.2,169.0,7,163,39.3,4,0,0,0.5,56,FWD
583,Harry,Arter,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,41,MID
584,Steve,Cook,0,0,20,956,21,39.3,177.4,28.0,0,149,24.4,2,0,4,0.1,43,DEF
585,Lyle,Taylor,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.2,41,FWD
586,Jack,Colback,0,0,14,492,11,33.7,62.0,2.0,0,73,9.9,0,0,0,0.7,41,MID
587,Brice,Samba,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,GK
588,Carlos,Ribeiro Dias,0,0,1,6,0,0.1,2.4,0.0,0,3,0.3,0,0,0,0.3,42,MID
589,Joe,Lolley,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID
590,Scott,McKenna,0,0,40,1570,32,93.9,278.8,46.0,0,275,41.8,5,0,4,0.1,44,DEF
591,Mohamed,Dräger,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF
592,Ryan,Yates,0,3,53,1833,36,97.3,206.8,233.0,0,177,53.1,5,0,5,0.0,50,MID
593,Joe,Worrall,1,0,61,2215,44,66.4,471.0,92.0,2,366,62.5,5,0,6,0.1,42,DEF
594,Jonathan,Panzo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
595,Xande,Nascimento da Costa Silva,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID
596,Sam,Surridge,1,0,26,306,5,15.9,59.4,92.0,3,61,15.7,0,0,2,0.7,46,FWD
597,Richie,Laryea,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF
598,Loïc,Mbe Soh,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,42,DEF
599,Brennan,Johnson,8,5,122,2930,54,373.6,478.2,729.0,15,384,157.4,7,0,6,1.6,55,FWD
600,Alex,Mighten,0,0,1,7,0,0.3,0.0,0.0,0,1,0.0,0,0,0,0.0,49,MID
601,Braian,Ojeda Rodríguez,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
602,Taiwo,Awoniyi,10,1,100,1395,29,129.6,375.8,378.0,16,320,87.8,5,0,2,1.2,56,FWD
603,Dean,Henderson,0,0,82,1620,31,0.0,474.4,0.0,12,367,47.5,6,0,2,5.2,46,GK
604,Giulian,Biancone,0,0,2,15,1,0.0,6.8,0.0,0,9,0.7,0,0,0,0.0,42,DEF
605,Willy,Boly,0,1,37,684,10,11.8,145.0,24.0,7,147,18.3,3,0,2,0.1,41,DEF
606,Morgan,Gibbs-White,5,12,145,3151,61,941.1,593.4,624.0,11,479,215.7,8,0,6,1.3,55,MID
607,Moussa,Niakhaté,0,0,25,1163,22,14.8,173.4,61.0,0,141,24.9,2,0,1,0.0,43,DEF
608,Omar,Richards,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,DEF
609,Wayne,Hennessey,0,0,8,271,5,0.0,62.2,0.0,0,46,6.3,0,0,0,1.4,39,GK
610,Harry,Toffolo,0,0,30,933,17,93.5,147.0,67.0,1,134,30.6,2,0,2,0.1,43,DEF
611,Lewis,O'Brien,1,0,22,578,14,56.4,107.8,47.0,0,88,21.1,1,0,2,0.0,47,MID
612,Jesse,Lingard,0,1,33,918,17,151.9,50.6,127.0,0,93,32.9,5,0,1,1.1,54,MID
